"","word","freq"
"""hi","""hi",1
"""hide","""hide",1
"""highlight","""highlight",2
"""hindi","""hindi",1
"""hindu","""hindu",2
"""hindus","""hindus",2
"""hindustan","""hindustan",1
"""hit","""hit",1
"""hitler","""hitler",1
"""honest","""honest",2
"""honor","""honor",1
"""hope","""hope",2
"""househelp","""househelp",1
"""hua","""hua",2
"""huatohhua","""huatohhua",1
"""huatohua","""huatohua",2
"""hug","""hug",1
"""huge","""huge",1
"""hum","""hum",1
"""hundr","""hundr",1
"""hunt","""hunt",1
"""idiot","""idiot",2
"""im","""im",18
"""imagin","""imagin",4
"""immedi","""immedi",1
"""in","""in",1
"""inc","""inc",1
"""incompet","""incompet",1
"""incomplet","""incomplet",1
"""india","""india",14
"""indiaelectionwatch","""indiaelectionwatch",3
"""indian","""indian",2
"""indor","""indor",1
"""info","""info",1
"""inform","""inform",1
"""inspit","""inspit",1
"""interest","""interest",2
"""interfer","""interfer",1
"""intern","""intern",1
"""interview","""interview",1
"""intoler","""intoler",2
"""investor","""investor",1
"""iron","""iron",1
"""irrelev","""irrelev",3
"""isnt","""isnt",1
"""issu","""issu",1
"""istandwithgautamgambhir","""istandwithgautamgambhir",1
"""isupportpriyankasharma","""isupportpriyankasharma",2
"""itcel","""itcel",2
"""ithuku","""ithuku",1
"""itsad","""itsad",1
"""ive","""ive",1
"""jab","""jab",1
"""janta","""janta",1
"""jao","""jao",1
"""jay","""jay",1
"""jaybjp","""jaybjp",1
"""jezz","""jezz",1
"""ji","""ji",2
"""jitegamodijitegabharattimemagazineistandwithgambhir","""jitegamodijitegabharattimemagazineistandwithgambhir",5
"""johuaburahua","""johuaburahua",1
"""juggernaut","""juggernaut",1
"""jumma","""jumma",1
"""just","""just",41
"""keep","""keep",2
"""kept","""kept",1
"""kid","""kid",1
"""kind","""kind",2
"""kind"",","""kind"",",1
"""know","""know",10
"""know"",","""know"",",1
"""knw","""knw",2
"""lack","""lack",1
"""ladakhi","""ladakhi",1
