"","word","freq"
"""jay","""jay",3
"""jealous","""jealous",1
"""ji","""ji",2
"""joke","""joke",1
"""just","""just",10
"""justask","""justask",1
"""karan","""karan",2
"""karanjipm","""karanjipm",1
"""karma","""karma",2
"""kashmir","""kashmir",1
"""keep","""keep",1
"""kind","""kind",3
"""know","""know",5
"""knowhislegaci","""knowhislegaci",1
"""lakh","""lakh",1
"""last","""last",35
"""latest","""latest",3
"""leagu","""leagu",1
"""leak","""leak",1
"""legend","""legend",1
"""let","""let",2
"""level","""level",1
"""lier","""lier",2
"""like","""like",5
"""listen","""listen",1
"""littl","""littl",11
"""live","""live",93
"""lok","""lok",1
"""loksabhaelectionselectionswithtim","""loksabhaelectionselectionswithtim",4
"""lol","""lol",2
"""lolol","""lolol",1
"""longer","""longer",1
"""look","""look",2
"""loot","""loot",1
"""lootyan","""lootyan",1
"""lose","""lose",1
"""love","""love",5
"""lunatickid","""lunatickid",1
"""maafi","""maafi",1
"""maam","""maam",1
"""mad","""mad",1
"""madamh","""madamh",1
"""made","""made",3
"""magazin","""magazin",1
"""mainstream","""mainstream",1
"""majboori","""majboori",1
"""make","""make",4
"""mam","""mam",1
"""man","""man",3
"""mani","""mani",2
"""manmohan","""manmohan",5
"""maoist","""maoist",1
"""matter","""matter",2
"""matur","""matur",1
"""may","""may",1
"""mean","""mean",3
"""meet","""meet",1
"""messag","""messag",1
"""middleclasstalk","""middleclasstalk",1
"""mine","""mine",2
"""misconcept"",","""misconcept"",",1
"""mission","""mission",1
"""mission"",","""mission"",",1
"""misus","""misus",1
"""mms","""mms",1
"""modi","""modi",14
"""modi"",","""modi"",",1
"""modiji","""modiji",3
"""moment","""moment",1
"""monkey","""monkey",1
"""mother","""mother",1
"""mr","""mr",122
"""much","""much",1
"""mukesh","""mukesh",1
"""mum","""mum",1
"""mumbai","""mumbai",1
"""muslim"",","""muslim"",",1
"""must","""must",5
"""narsimha","""narsimha",1
"""nation","""nation",2
"""navi","""navi",1
"""nawab","""nawab",1
"""ncp","""ncp",1
"""nd","""nd",1
"""need","""need",8
"""neededtoilet","""neededtoilet",1
"""nehru","""nehru",2
"""nervous"",","""nervous"",",1
"""never","""never",3
"""new","""new",1
"""next","""next",3
"""nice"",","""nice"",",2
"""none","""none",1
"""nonsens","""nonsens",1
"""normal","""normal",1
"""noth","""noth",4
"""now","""now",12
"""nps","""nps",1
"""npsgoback","""npsgoback",3
"""obsess","""obsess",4
"""ofcourc","""ofcourc",1
"""oh","""oh",2
"""oknow","""oknow",1
"""one","""one",53
"""operationvadraloksabhaelect","""operationvadraloksabhaelect",1
"""orgasm"",","""orgasm"",",1
"""other","""other",1
"""oye","""oye",4
"""pahel","""pahel",1
"""pallavipidi","""pallavipidi",1
"""pappu","""pappu",11
"""pappus","""pappus",1
"""parti","""parti",2
"""past","""past",1
"""peac","""peac",1
"""peopl","""peopl",4
"""per","""per",2
"""perfect","""perfect",1
"""phir","""phir",1
"""photo","""photo",1
"""pidi","""pidi",1
"""pilot","""pilot",43
"""pitroda","""pitroda",1
"""plant","""plant",1
"""pleas","""pleas",13
"""pls","""pls",2
"""plz","""plz",2
"""pm","""pm",13
"""pmmodi","""pmmodi",1
"""pmnarendramodi","""pmnarendramodi",1
"""polit","""polit",1
"""politician","""politician",1
"""poor","""poor",1
"""power","""power",2
"""pray","""pray",1
"""preliminari","""preliminari",1
"""presid","""presid",2
"""pressureif","""pressureif",1
"""prime","""prime",1
"""priminist","""priminist",1
"""prink","""prink",1
"""proper","""proper",1
"""proven","""proven",1
"""psu","""psu",1
"""pundit","""pundit",1
"""punish","""punish",2
"""punjab","""punjab",1
"""qualiti","""qualiti",1
"""question","""question",1
"""raga","""raga",2
"""rahul","""rahul",7
"""rahulgandhi","""rahulgandhi",1
"""rahulgandhitoht","""rahulgandhitoht",1
"""rahulji","""rahulji",1
"""rahulkabaapchorhai","""rahulkabaapchorhai",1
"""raja","""raja",9
"""rajiv","""rajiv",1
"""rajivgandhichorhai","""rajivgandhichorhai",1
"""ramadan","""ramadan",2
"""rate","""rate",1
"""rd","""rd",10
"""read","""read",3
"""real","""real",3
"""realdo","""realdo",1
"""realiz","""realiz",1
"""realli","""realli",4
"""realli"",","""realli"",",1
"""reason","""reason",1
"""reiter","""reiter",2
"""relat","""relat",1
"""relentless","""relentless",1
"""rememb","""rememb",6
"""remind","""remind",1
"""remov","""remov",2
"""repercuss","""repercuss",1
"""report","""report",1
"""request","""request",1
"""respect","""respect",1
"""rest","""rest",1
"""retir","""retir",23
"""revel","""revel",1
"""revers","""revers",1
"""rg","""rg",3
"""right","""right",5
"""right"",","""right"",",1
"""riot","""riot",4
"""roadmap","""roadmap",1
"""rt","""rt",3
"""ru","""ru",1
"""rude","""rude",1
"""rule","""rule",1
"""sabsebadajhootamodimodi","""sabsebadajhootamodimodi",1
"""sad","""sad",1
"""said","""said",4
"""sam","""sam",18
"""sampitrodamodijihow","""sampitrodamodijihow",1
"""sanjukta","""sanjukta",1
"""satta","""satta",1
"""save","""save",3
"""say","""say",2
"""sc","""sc",6
"""school","""school",2
"""see","""see",7
"""seem","""seem",4
"""sh","""sh",1
"""shame","""shame",8
"""shame"",","""shame"",",2
"""shameless","""shameless",1
"""short","""short",2
"""shouldnt","""shouldnt",68
"""shree","""shree",1
"""shri","""shri",1
"""shut","""shut",1
"""sidhu"",","""sidhu"",",1
"""sign","""sign",1
"""sikh","""sikh",5
"""sir","""sir",16
"""sirji","""sirji",1
"""small","""small",1
"""soldier"",","""soldier"",",1
"""sole","""sole",1
"""solid","""solid",1
"""someon","""someon",6
"""someth","""someth",1
"""sonam","""sonam",1
"""sonia","""sonia",2
"""sooner","""sooner",1
"""sorri","""sorri",5
"""speak","""speak",1
"""stand","""stand",1
"""stand"",","""stand"",",1
"""start","""start",2
"""state","""state",3
"""statement","""statement",1
"""stick","""stick",1
"""still","""still",3
"""stop","""stop",1
"""stori","""stori",2
"""strong","""strong",5
"""sudden","""sudden",1
"""superb"",","""superb"",",1
"""suppli","""suppli",1
"""support","""support",2
"""suprem","""suprem",3
"""supremecourt","""supremecourt",1
"""sure","""sure",2
"""sure"",","""sure"",",1
"""surpris","""surpris",1
"""system","""system",1
"""talk","""talk",2
"""tannu","""tannu",1
"""target","""target",1
"""tdp","""tdp",1
"""team","""team",1
"""termin","""termin",1
"""terrorismpakistancorruptionsikhgenocid","""terrorismpakistancorruptionsikhgenocid",1
"""thank","""thank",4
"""that","""that",4
"""thi","""thi",1
"""thing","""thing",1
"""think","""think",8
"""thorough","""thorough",3
"""thought","""thought",1
"""time","""time",25
"""timemagzinecongratul"",","""timemagzinecongratul"",",1
"""today","""today",1
"""toh","""toh",1
"""topper","""topper",1
"""toxic","""toxic",1
"""tri","""tri",1
"""trickeri","""trickeri",1
"""true","""true",4
"""true"",","""true"",",3
"""trueh","""trueh",1
"""tutor","""tutor",1
"""tweet","""tweet",3
"""twitter","""twitter",2
"""ukjinnahnehru","""ukjinnahnehru",2
"""uncl","""uncl",2
"""undrstand","""undrstand",1
"""unhealthi","""unhealthi",1
"""upa","""upa",1
"""upaamp","""upaamp",1
"""ur","""ur",5
"""use","""use",2
"""useless"",","""useless"",",1
"""usk","""usk",1
"""ve","""ve",1
"""vicious","""vicious",1
"""video","""video",1
"""vision","""vision",1
"""vote","""vote",1
"""wake","""wake",1
"""want","""want",3
"""wasnt","""wasnt",1
"""wat","""wat",1
"""watch","""watch",4
"""way","""way",1
"""weak","""weak",1
"""week","""week",1
"""welcom","""welcom",1
"""well","""well",10
"""what","""what",3
"""whatev","""whatev",2
"""whatsapp","""whatsapp",1
"""whole","""whole",1
"""wht","""wht",1
"""will","""will",13
"""willpow","""willpow",1
"""win","""win",1
"""wish","""wish",2
"""within","""within",1
"""without","""without",5
"""wonder","""wonder",2
"""wont","""wont",1
"""world","""world",1
"""wouldnt","""wouldnt",1
"""wow","""wow",4
"""wrong","""wrong",3
"""ws","""ws",1
"""ya","""ya",1
"""yaan","""yaan",1
"""yeah","""yeah",1
"""year","""year",1
"""yes","""yes",9
"""yesterday","""yesterday",2
"""your","""your",1
"0),","0),",1
"11,","11,",1
"119,","119,",1
"130,","130,",1
"14.3509609699249,","14.3509609699249,",1
"25,","25,",1
"aaj","aaj",1
"aalo","aalo",1
"aam","aam",1
"aap","aap",3
"aap"",","aap"",",1
"aapko","aapko",1
"aapn","aapn",2
"aasim","aasim",12
"aaya"",","aaya"",",1
"aayega","aayega",1
"aayegatohmod"",","aayegatohmod"",",1
"aazadi","aazadi",1
"ab"",","ab"",",1
"abhi","abhi",1
"abhoganyay"",","abhoganyay"",",89
"abhor","abhor",1
"abject","abject",1
"abl","abl",3
"absolut","absolut",4
"abt","abt",3
"abus","abus",1
"accent","accent",2
"accep"",","accep"",",1
"accept","accept",5
"access","access",1
"acch","acch",1
"acclaim","acclaim",1
"accou"",","accou"",",1
"account","account",1
"accus","accus",3
"acharya","acharya",2
"achiev","achiev",2
"achievemen"",","achievemen"",",1
"achievementsth","achievementsth",1
"acknowledg","acknowledg",1
"across","across",5
"act","act",3
