"","word","freq"
"""ignor","""ignor",1
"""im","""im",2
"""imagin","""imagin",3
"""immedi","""immedi",2
"""imposs","""imposs",2
"""inc","""inc",2
"""incompet","""incompet",1
"""incomplet","""incomplet",1
"""ind","""ind",1
"""india","""india",9
"""indiaelectionwatch","""indiaelectionwatch",5
"""indian","""indian",4
"""indic","""indic",1
"""indira","""indira",2
"""individu","""individu",1
"""infact","""infact",1
"""infect","""infect",1
"""influenc","""influenc",1
"""initi","""initi",4
"""insensit","""insensit",3
"""insight","""insight",2
"""instead","""instead",1
"""insviraatcharg","""insviraatcharg",2
"""intellectu","""intellectu",2
"""intent","""intent",1
"""interact","""interact",1
"""interten","""interten",1
"""interview","""interview",1
"""irrelev","""irrelev",3
"""isko","""isko",1
"""isnt","""isnt",3
"""issu","""issu",2
"""jai","""jai",3
"""jampk","""jampk",1
"""jao","""jao",1
"""jay","""jay",11
"""jealous","""jealous",1
"""jezz","""jezz",1
"""ji","""ji",5
"""jindabad","""jindabad",1
"""johuaburahua","""johuaburahua",1
"""join","""join",1
"""joke","""joke",7
"""joker","""joker",1
"""joker"",","""joker"",",1
"""journalist","""journalist",1
"""just","""just",18
"""kabhi","""kabhi",1
"""keep","""keep",3
"""kerala","""kerala",2
"""killer","""killer",1
"""kind","""kind",1
"""kind"",","""kind"",",1
"""know","""know",10
"""knw","""knw",1
"""kya","""kya",2
"""last","""last",52
"""lastpadannantha","""lastpadannantha",1
"""launder","""launder",1
"""law","""law",1
"""leader","""leader",1
"""learn","""learn",1
"""left","""left",1
"""leftist","""leftist",28
"""legend","""legend",1
"""let","""let",8
"""liabil","""liabil",1
"""liber","""liber",1
"""licens","""licens",1
"""lie","""lie",1
"""lier","""lier",2
"""like","""like",9
"""lion","""lion",1
"""list","""list",2
"""listen","""listen",27
"""littl","""littl",1
"""live","""live",2
"""lol","""lol",2
"""lolfirst","""lolfirst",2
"""look","""look",5
"""lot","""lot",2
"""love","""love",2
"""luckili","""luckili",1
"""mad","""mad",1
"""madam","""madam",2
"""made","""made",3
"""magazin","""magazin",1
"""mainstream","""mainstream",1
"""major","""major",2
"""make","""make",1
"""man","""man",1
"""mani","""mani",5
"""mark","""mark",1
"""market","""market",1
"""matnl","""matnl",1
"""matter","""matter",1
"""mayhem"",","""mayhem"",",1
"""mean","""mean",1
"""mediev","""mediev",1
"""meet","""meet",2
"""member","""member",1
"""men","""men",1
"""mention","""mention",1
"""misconcept"",","""misconcept"",",1
"""misus","""misus",1
"""mms","""mms",1
"""mmsth"",","""mmsth"",",1
"""modern","""modern",1
"""modi","""modi",16
"""modiji","""modiji",2
"""moment","""moment",1
"""monkey","""monkey",5
"""moreov","""moreov",2
"""mossad","""mossad",1
"""mr","""mr",16
"""much","""much",1
"""mumbai","""mumbai",2
"""murder","""murder",1
"""must","""must",4
"""name","""name",1
"""narendra","""narendra",1
"""navi","""navi",2
"""ncp","""ncp",1
"""nd","""nd",1
"""need","""need",4
"""needl","""needl",1
"""nehru","""nehru",2
"""nehrus","""nehrus",2
"""neither","""neither",2
"""never","""never",4
"""news","""news",1
"""newsalert","""newsalert",3
"""next","""next",2
"""nice","""nice",3
"""nice"",","""nice"",",1
"""nobodi","""nobodi",2
"""non"",","""non"",",1
"""nope","""nope",1
"""north","""north",1
"""notafirst","""notafirst",1
"""noth","""noth",4
"""notic","""notic",1
"""now","""now",13
"""obsess","""obsess",1
"""odd","""odd",1
"""ofcourc","""ofcourc",1
"""offcours","""offcours",1
"""oh","""oh",3
"""ok","""ok",4
"""okw","""okw",1
"""old","""old",1
"""omg","""omg",1
"""one","""one",8
"""one"",","""one"",",1
"""operationvadraloksabhaelect","""operationvadraloksabhaelect",1
"""oppon","""oppon",1
"""opposit"",","""opposit"",",1
"""option","""option",2
"""order","""order",9
"""outcom","""outcom",2
"""outgo","""outgo",1
"""outnumb","""outnumb",1
"""oye","""oye",1
"""pakistan","""pakistan",1
"""pakistani","""pakistani",1
"""pappu","""pappu",4
"""pappus","""pappus",1
"""par","""par",1
"""part","""part",2
"""parti","""parti",3
"""past","""past",2
"""pawar"",","""pawar"",",1
"""pehl","""pehl",1
"""peopl","""peopl",9
"""perhap","""perhap",2
"""pic","""pic",2
"""pidi","""pidi",1
"""pig","""pig",1
"""piti","""piti",1
"""pitroda","""pitroda",3
"""pleas","""pleas",11
"""pls","""pls",1
"""plz","""plz",1
"""pm","""pm",9
"""point","""point",1
"""polic","""polic",1
"""poor","""poor",2
"""possibl","""possibl",1
"""power","""power",1
"""prbbli","""prbbli",1
"""premis","""premis",1
"""presid","""presid",1
"""press","""press",2
"""priyanka","""priyanka",2
"""problem","""problem",1
"""proof","""proof",2
"""proper","""proper",1
"""protect"",","""protect"",",2
"""proud","""proud",2
"""proud"",","""proud"",",1
"""proven","""proven",1
"""punjab","""punjab",1
"""put","""put",1
"""qualifi","""qualifi",1
"""question","""question",7
"""quot","""quot",1
"""rafael","""rafael",1
"""raga","""raga",1
"""rahul","""rahul",5
"""rahuljicompar","""rahuljicompar",1
"""rahulkabaapchorhain","""rahulkabaapchorhain",1
"""rahulnyaydilayega","""rahulnyaydilayega",1
"""raja","""raja",15
"""rajiv","""rajiv",1
"""rajivviraatvac","""rajivviraatvac",1
"""ramadan","""ramadan",1
"""ramda","""ramda",2
"""rape","""rape",2
"""rape"",","""rape"",",1
"""rd","""rd",20
"""read","""read",3
"""readi","""readi",1
"""real","""real",3
"""realli","""realli",6
"""reason","""reason",1
"""record","""record",1
"""reform","""reform",1
"""remark","""remark",1
"""repli","""repli",1
"""report","""report",1
"""repost","""repost",6
"""request","""request",2
"""rest","""rest",1
"""retir","""retir",32
"""return","""return",2
"""reuter","""reuter",2
"""revers","""revers",1
"""revis","""revis",1
"""rg","""rg",2
"""right","""right",1
"""rofl"",","""rofl"",",1
"""ru","""ru",1
"""rubbishi","""rubbishi",1
"""rule","""rule",3
"""sabkasaathsabkavika","""sabkasaathsabkavika",1
"""sabsebadajhootamodimodi","""sabsebadajhootamodimodi",2
"""sad","""sad",4
"""said","""said",5
"""sale","""sale",1
"""sam","""sam",5
